dc,dc_code,dc_eng,t_pop,pop_m,pop_f,sr,age_1,age_2,age_3,age_4,age_5,t_ma,ma_m,ma_f,born_hk,born_chi,born_else,ethn_chi,ethn_phi,ethn_ind,ethn_wh,ethn_oth,ms_nm_m,ms_ma_m,ms_win_m,ms_div_m,ms_sep_m,ms_nm_f,ms_m_f,ms_win_f,ms_div_f,ms_sep_f,ul_can,ul_put,ul_othchi,ul_eng,ul_oth,readchi_ablepctn,readeng_ablepctn,writechi_ablepctn,writeeng_ablepctn,edu_prepri,edu_pri,edu_lsed,edu_usec,edu_dip,edu_sub,edu_deg,pls_same,pls_diff_hk,pls_diff_kln,pls_diff_nt,s_diff_oth,t_lf,lf_m,lf_f,lfpr_t,lfpr_m,lfpr_f,t_wp,wp_ee,wp_er,wp_se,wp_fw,t_nwp,nwp_hm,nwp_st,nwp_re,nwp_oth,plw_same,plw_diff_hk,plw_diff_kln,plw_diff_nt,plw_diff_oth,plw_nofix,plw_hm,plw_out,mearn_xfdh_1,mearn_xfdh_2,mearn_xfdh_3,mearn_xfdh_4,mearn_xfdh_5,mearn_xfdh_6,mearn_xfdh_7,t_mmearn,mmearm_m,mmearn_f,mearn_xfdhfw_1,mearn_xfdhfw_2,mearn_xfdhfw_3,mearn_xfdhfw_4,mearn_xfdhfw_5,mearn_xfdhfw_6,mearn_xfdhfw_7,t_mmearn_xfdh,mmearn_xfdh_m,mmearn_xfdh_f,wp_a,wp_b,wp_c,wp_d,wp_e,wp_f,wp_g,wp_h,wp_i,wp_j,wp_k,wp_l,wp_m,wp_n,wp_o,wp_p,wp_q,wp_r,wp_s,wp_t,whr_1,whr_2,whr_3,whr_4,whr_5,whr_6,dh,dhz_1,dhz_2,dhz_3,dhz_4,dhz_5,dhz_6,adhz,dhc_1,dhc_2,dhc_3,dhc_4,dhc_5,dhc_6,dhc_7,dhc_8,dhi_1,dhi_2,dhi_3,dhi_4,dhi_5,dhi_6,dhi_7,ma_hh,dhi_e1,dhi_e2,dhi_e3,dhi_e4,dhi_e5,dhi_e6,dhi_e7,ma_econhh,oq_pub,oq_s,oq_pri,oq_non,oq_tem,dh_pub,dh_s,dh_pri,dh_non,dh_tem,pop_pub,pop_s,pop_pri,pop_non,pop_tem,dh_r1,dh_r2,dh_r3,dh_r4,dh_r5,dh_r6,dh_r0,dh_ocm,dh_ocwm,dh_st,dh_co,dh_rf,dh_emp,dhm_1,dhm_2,dhm_3,dhm_4,dhm_5,dhm_6,dhm_7,dhm_loan,dhm_lr,dhr_1,dhr_2,dhr_3,dhr_4,dm_r,dmr_ir,fa_m,pm_hk,pm_kln,pm_nt,pm_oth,pm_samearea,pm_same,pm_out
11,A,Central & Western, 243 266, 108 695, 134 571,808, 23 655, 26 661, 75 525, 78 577, 38 848,43.8,44.1,43.6, 133 382, 60 158, 49 726, 193 892, 17 550, 6 381, 13 407, 12 036, 35 323, 56 780, 2 152, 1 795,677, 38 688, 66 870, 10 304, 6 008, 1 014, 172 483, 9 888, 5 890, 38 522, 8 766,79.1,80.4,77.2,78.7, 9 961, 18 275, 23 288, 59 423, 13 469, 9 754, 85 441, 18 006, 10 001, 4 594, 1 803,309, 143 838, 67 522, 76 316,65.5,69.8,62.1, 139 534, 119 338, 7 929, 10 889, 1 378, 103 732, 13 209, 36 343, 33 266, 20 914, 48 647, 25 892, 16 805, 7 501, 2 196, 9 899, 24 421, 4 173, 31 019, 11 837, 31 911, 16 438, 10 152, 12 413, 24 386,"17,000","24,540","10,500", 10 370, 10 251, 31 815, 16 438, 10 152, 12 413, 24 386,"20,800","25,000","18,300", 21 603, 17 217, 28 534, 16 221, 17 095, 2 966, 3 124, 32 717,57, 2 794, 4 552, 24 645, 7 022, 8 729, 5 244, 19 038, 22 356, 18 361, 26 307,486, 8 803, 12 544, 44 987, 40 978, 17 088, 15 134, 87 057, 23 144, 22 856, 16 509, 13 312, 7 398, 3 838,2.7, 15 037, 27 613, 6 880,661, 2 307, 6 675, 23 144, 4 740, 10 319, 4 861, 12 040, 10 643, 8 226, 11 909, 29 059,"36,000", 1 436, 1 639, 9 662, 9 710, 7 695, 11 412, 28 255,"47,000", 2 825,-, 83 265, 2 364,103, 2 825,-, 82 528, 1 601,103, 8 236,-, 229 651, 5 249,130, 3 951, 13 007, 32 911, 18 502, 9 974, 8 390,322, 13 382, 34 439, 31 464,773, 4 348, 2 651, 2 341,694, 1 025,930,750, 3 715, 3 927,"14,680",18.8, 3 683, 5 102, 3 528, 22 575,"14,000",30.6,41, 9 561, 4 841, 6 325, 1 040, 25 824, 160 074, 28 066
12,B,Wan Chai, 180 123, 78 550, 101 573,773, 17 487, 15 358, 57 543, 60 052, 29 683,44.9,46.2,44.1, 102 705, 37 160, 40 258, 140 290, 14 706, 6 249, 8 419, 10 459, 22 845, 42 353, 1 506, 2 465,448, 29 907, 50 964, 7 177, 4 377,594, 127 455, 6 681, 3 248, 28 787, 8 381,78,83,76,81.1, 6 586, 12 702, 17 508, 45 429, 10 041, 7 274, 63 096, 9 965, 7 771, 2 405, 1 031,182, 109 578, 49 832, 59 746,67.4,71.6,64.2, 106 009, 88 782, 7 322, 9 021,884, 74 114, 9 381, 23 734, 24 867, 16 132, 21 861, 30 482, 14 534, 5 540, 1 314, 7 732, 21 669, 2 877, 24 071, 12 340, 22 294, 11 653, 7 398, 9 510, 17 859,"15,000","25,500","9,000", 5 634, 11 274, 22 201, 11 653, 7 398, 9 510, 17 859,"20,000","26,250","16,000", 16 261, 11 977, 22 314, 10 790, 12 785, 2 191, 1 695, 27 973,23, 1 899, 4 080, 18 072, 4 577, 7 573, 4 230, 13 145, 17 171, 12 465, 22 498,299, 7 112, 10 033, 32 689, 30 958, 13 210, 12 007, 65 196, 17 105, 18 223, 12 091, 9 270, 5 622, 2 885,2.7, 11 883, 19 227, 5 790,700, 1 659, 4 996, 17 105, 3 836, 7 122, 4 043, 10 002, 6 875, 5 720, 8 857, 22 577,"37,750", 1 042, 1 821, 7 767, 5 953, 5 382, 8 269, 21 539,"47,000", 2 633,-, 62 026,984,76, 2 614,-, 61 593,913,76, 6 829,-, 169 377, 3 784,133, 3 439, 10 290, 20 880, 13 701, 8 680, 8 168,38, 8 823, 25 193, 25 322,109, 2 984, 2 765, 1 792,214,223,404,647, 2 270, 3 273,"18,240",21.6, 3 193, 4 856, 3 072, 17 075,"14,000",31.5,47, 11 581, 4 351, 5 884, 1 292, 15 852, 114 371, 21 378
13,C,Eastern, 555 034, 249 871, 305 163,819, 60 894, 56 053, 170 280, 175 493, 92 314,43.8,44.1,43.6, 350 594, 150 010, 54 430, 504 585, 18 775, 15 977, 1 806, 13 891, 69 308, 137 575, 5 454, 5 593,741, 79 391, 154 113, 26 654, 13 747, 1 564, 463 411, 11 629, 22 630, 25 379, 9 976,88.9,73.1,86.9,71.1, 25 132, 58 685, 73 499, 147 005, 30 725, 23 593, 135 501, 46 056, 19 174, 9 005, 5 055,897, 309 155, 150 041, 159 114,62.6,68.6,57.8, 296 373, 264 527, 9 973, 20 792, 1 081, 258 661, 36 908, 80 984, 89 778, 50 991, 65 803, 88 505, 49 321, 17 676, 4 509, 26 935, 35 109, 8 515, 48 009, 33 771, 97 256, 43 268, 23 581, 23 405, 26 002,"15,000","18,500","12,000", 15 520, 33 400, 97 256, 43 268, 23 581, 23 405, 26 002,"17,000","18,500","15,000", 34 205, 25 736, 65 554, 40 956, 45 008, 11 228, 9 199, 64 220,267, 8 373, 17 130, 54 104, 19 201, 21 329, 12 855, 29 529, 49 618, 41 050, 41 528, 1 656, 16 978, 22 515, 107 425, 88 838, 33 679, 26 938, 187 134, 31 959, 49 042, 46 514, 36 855, 15 572, 7 192,2.9, 29 170, 69 753, 21 885, 2 729, 7 045, 19 678, 31 959, 4 915, 16 626, 15 474, 33 710, 27 902, 21 518, 29 466, 42 438,"29,830", 2 747, 4 958, 28 097, 25 735, 20 528, 28 459, 41 481,"36,250", 37 490, 28 555, 121 037,460,209, 37 470, 28 479, 120 560,414,211, 107 091, 87 372, 357 534, 2 548,489, 13 103, 21 109, 69 075, 51 792, 25 126, 6 883,46, 34 489, 71 044, 71 640,639, 6 717, 2 605, 4 881, 1 477, 3 432, 3 783, 3 334, 12 325, 5 257,"11,500",19, 26 057, 21 555, 5 496, 21 776,"3,000",18.5,44, 16 849, 9 377, 13 082, 1 827, 55 561, 399 692, 37 270
14,D,Southern, 274 994, 123 990, 151 004,821, 31 238, 26 549, 84 423, 87 147, 45 637,43.9,44.3,43.6, 180 743, 58 241, 36 010, 238 913, 13 784, 6 718, 7 289, 8 290, 35 673, 65 648, 2 645, 3 242,252, 39 538, 74 078, 14 865, 6 980,835, 223 151, 4 798, 3 440, 26 115, 5 540,83,72.4,78.9,68.8, 18 530, 33 226, 33 225, 72 059, 14 641, 10 647, 61 428, 19 154, 12 769, 4 089, 2 332,317, 149 258, 71 565, 77 693,61.2,66.6,57, 143 331, 127 119, 5 920, 9 620,672, 131 663, 17 392, 40 014, 40 572, 33 685, 28 882, 49 586, 17 606, 6 304, 2 529, 12 525, 22 453, 3 446, 26 365, 15 208, 49 583, 18 183, 9 264, 9 948, 14 108,"14,500","18,000","10,750", 7 385, 13 438, 49 579, 18 183, 9 264, 9 948, 14 108,"16,000","18,000","15,000", 17 224, 10 701, 26 830, 18 577, 20 694, 5 992, 6 139, 36 792,382, 4 254, 8 336, 22 952, 11 365, 9 260, 4 299, 12 293, 21 964, 22 347, 25 233, 1 028, 9 003, 11 217, 46 713, 43 780, 17 252, 15 366, 85 505, 11 982, 21 279, 22 153, 17 927, 7 909, 4 255,3, 12 351, 34 394, 11 054, 1 071, 3 152, 9 177, 11 982, 2 324, 6 847, 6 108, 16 302, 12 726, 10 592, 12 913, 20 017,"30,000", 1 024, 1 840, 13 725, 11 846, 10 194, 12 556, 19 440,"35,100", 26 286, 15 354, 43 227, 1 235,595, 26 195, 15 316, 42 964,435,595, 74 129, 44 188, 145 022, 9 883, 1 772, 8 088, 11 885, 30 509, 17 734, 10 628, 6 653,8, 13 339, 28 290, 38 466,78, 2 268, 3 064, 2 108, 1 620, 1 595, 1 235, 1 132, 3 303, 2 346,"10,000",17.6, 19 967, 10 055, 1 320, 10 266,"2,110",11.9,41, 13 101, 5 017, 5 189,883, 24 004, 198 505, 17 211
23,F,Sham Shui Po, 405 869, 188 268, 217 601,865, 47 615, 42 835, 125 913, 125 033, 64 473,42.9,43.2,42.7, 227 004, 153 631, 25 234, 381 861, 7 374, 6 900,341, 9 393, 55 936, 96 132, 3 808, 6 694,853, 55 357, 103 272, 21 391, 13 716, 1 095, 350 245, 5 809, 15 346, 10 272, 6 173,90.8,65.3,88.4,62.9, 18 936, 55 583, 67 644, 106 163, 19 878, 16 165, 73 885, 36 424, 3 238, 14 498, 6 782,597, 217 691, 111 561, 106 130,60.8,68.3,54.5, 205 565, 183 306, 6 580, 15 251,428, 200 304, 30 795, 60 519, 61 276, 47 714, 34 057, 39 900, 50 325, 28 629, 5 342, 27 006, 15 526, 4 780, 28 081, 29 595, 83 472, 27 203, 12 528, 13 574, 10 684,"13,500","15,300","11,580", 14 296, 29 449, 83 462, 27 203, 12 528, 13 574, 10 684,"14,600","15,330","13,000", 20 419, 13 557, 39 453, 27 446, 38 992, 12 666, 7 715, 45 220,97, 6 638, 19 639, 40 825, 16 458, 21 119, 7 439, 13 194, 29 998, 28 873, 20 263, 1 119, 13 465, 18 368, 69 307, 63 060, 25 567, 15 798, 148 304, 33 899, 41 480, 34 026, 26 328, 8 867, 3 704,2.6, 21 411, 47 391, 19 870, 1 344, 4 273, 16 489, 33 899, 3 627, 14 082, 17 580, 40 838, 23 420, 14 839, 16 940, 20 605,"20,000", 2 813, 7 192, 36 301, 22 451, 14 485, 16 342, 20 151,"25,000", 52 036, 7 467, 87 760, 1 057, 1 033, 51 786, 7 455, 87 519,511, 1 033, 135 432, 21 436, 242 981, 4 342, 1 678, 23 749, 32 970, 53 197, 24 284, 9 428, 4 281,395, 20 194, 33 772, 88 350,494, 4 285, 1 209, 2 364, 1 753, 1 729, 2 347, 1 830, 7 854, 2 317,"11,000",18.6, 33 094, 39 452, 7 819, 9 688,"2,500",17.1,35, 7 840, 20 071, 20 821, 2 317, 42 521, 263 129, 32 066
24,G,Kowloon City, 418 732, 188 717, 230 015,820, 48 600, 44 692, 128 040, 133 252, 64 148,43.1,43.3,43, 243 051, 131 166, 44 515, 376 282, 15 864, 10 502, 1 009, 15 075, 53 171, 101 240, 3 451, 5 065,755, 59 000, 114 904, 19 446, 11 807, 1 293, 343 161, 9 663, 16 315, 21 572, 10 420,88.2,71.6,86.5,69.6, 14 881, 44 411, 59 673, 109 690, 21 175, 17 033, 103 269, 36 429, 4 661, 14 833, 6 263,716, 227 518, 113 119, 114 399,61.5,69.1,55.4, 217 224, 189 172, 10 901, 15 840, 1 311, 201 508, 29 674, 64 573, 65 056, 42 205, 32 143, 43 218, 59 373, 22 220, 5 029, 21 033, 27 246, 6 962, 36 725, 21 940, 74 167, 31 089, 15 960, 17 612, 18 420,"15,000","18,000","11,520", 11 990, 21 402, 74 163, 31 089, 15 960, 17 612, 18 420,"16,500","18,000","15,000", 29 508, 18 799, 43 380, 28 331, 34 167, 9 175, 6 016, 47 696,152, 7 447, 15 002, 43 470, 13 827, 18 146, 8 071, 14 571, 31 778, 32 114, 31 682, 1 116, 14 377, 17 285, 75 243, 65 083, 25 542, 19 694, 142 409, 27 252, 38 129, 32 869, 26 202, 12 877, 5 080,2.8, 22 116, 51 072, 16 347, 1 449, 5 244, 14 392, 27 252, 4 537, 13 340, 12 422, 31 832, 20 813, 14 817, 18 576, 30 609,"25,550", 1 937, 4 456, 27 792, 19 501, 14 105, 17 766, 29 874,"31,690", 35 298, 2 180, 104 288, 1 568,348, 35 221, 2 158, 104 023,659,348, 90 726, 6 005, 316 244, 4 766,991, 14 182, 24 111, 46 034, 27 551, 18 787, 11 696,48, 21 895, 44 385, 68 607,458, 5 048, 2 016, 3 091,892, 1 886, 1 774, 2 215, 7 803, 4 234,"12,120",19.9, 27 456, 20 084, 7 715, 15 826,"2,750",18.5,40, 10 053, 30 225, 24 300, 2 779, 40 732, 257 560, 35 894
25,H,Wong Tai Sin, 425 235, 197 317, 227 918,866, 46 137, 47 467, 121 353, 137 024, 73 254,44.6,44.6,44.6, 259 828, 148 571, 16 836, 410 573, 3 464, 5 896,373, 4 929, 60 753, 101 385, 4 505, 6 331,667, 61 199, 105 222, 26 802, 11 325,909, 385 778, 3 693, 13 952, 4 425, 2 470,92.5,62.5,89.8,60.2, 25 848, 67 807, 72 768, 113 668, 21 613, 18 606, 58 788, 32 808, 3 184, 20 237, 7 002,826, 222 910, 117 188, 105 722,58.8,67.5,51.5, 209 277, 190 053, 4 183, 14 517,524, 215 958, 32 310, 63 111, 74 680, 45 857, 21 938, 36 193, 74 752, 27 063, 6 621, 26 845, 10 853, 5 012, 22 987, 27 046, 99 256, 32 044, 13 191, 9 083, 5 146,"14,000","15,000","12,000", 13 726, 26 991, 99 244, 32 044, 13 191, 9 083, 5 146,"14,500","15,000","13,000", 12 963, 10 413, 41 440, 34 689, 43 163, 14 290, 11 121, 40 916,282, 7 887, 20 081, 40 851, 19 524, 21 188, 7 124, 9 406, 31 120, 34 417, 16 673, 1 006, 13 529, 16 652, 72 957, 67 919, 23 649, 14 571, 145 489, 25 503, 36 902, 37 268, 30 617, 11 032, 4 167,2.9, 17 880, 51 196, 21 067, 1 934, 6 394, 19 741, 25 503, 1 774, 16 083, 13 580, 36 313, 26 031, 20 048, 19 629, 13 805,"22,000", 2 362, 5 302, 32 195, 25 389, 19 702, 19 429, 13 584,"27,100", 73 920, 44 557, 26 593,662,196, 73 623, 44 495, 26 635,540,196, 213 026, 130 600, 77 368, 3 812,429, 20 074, 23 444, 62 748, 28 102, 9 326, 1 785,10, 18 360, 41 065, 81 355,335, 2 013, 2 361, 2 275, 2 770, 3 050, 3 350, 2 029, 3 804, 1 082,"7,000",17.5, 49 544, 29 025, 2 131, 3 351,"1,750",10.2,38, 4 260, 18 198, 11 690, 1 777, 19 609, 339 598, 15 574
26,J,Kwun Tong, 648 541, 301 929, 346 612,871, 74 526, 69 269, 192 289, 201 198, 111 259,43.8,43.6,43.9, 363 647, 256 357, 28 537, 623 267, 7 208, 9 123,306, 8 637, 85 759, 159 160, 6 918, 10 257, 1 088, 85 792, 166 766, 37 003, 19 814, 1 458, 572 889, 6 197, 31 324, 7 703, 5 028,92,60.9,89.7,59, 36 344, 100 157, 113 069, 173 607, 30 447, 26 787, 93 604, 55 279, 7 378, 23 664, 11 797,930, 335 528, 175 941, 159 587,58.5,66.9,51.3, 315 577, 287 748, 6 144, 21 000,685, 332 964, 49 895, 98 961, 113 890, 70 218, 69 591, 67 910, 68 816, 34 419, 8 920, 40 841, 17 863, 7 217, 35 700, 42 588, 146 857, 45 026, 22 382, 14 718, 7 621,"13,500","15,000","12,000", 19 920, 42 449, 146 835, 45 026, 22 382, 14 718, 7 621,"14,100","15,000","12,750", 21 688, 16 028, 59 332, 47 391, 67 820, 20 738, 15 659, 66 577,344, 11 715, 31 114, 61 186, 27 058, 32 410, 10 885, 16 460, 47 237, 50 029, 26 097, 1 386, 20 305, 25 003, 108 284, 100 735, 36 553, 24 697, 226 487, 40 525, 62 893, 56 398, 43 382, 16 694, 6 595,2.8, 31 883, 79 418, 31 487, 2 337, 8 950, 28 847, 40 525, 3 040, 19 106, 30 135, 60 812, 38 707, 26 880, 28 871, 21 976,"20,160", 2 839, 10 151, 53 520, 37 787, 26 338, 28 523, 21 614,"25,600", 130 344, 32 370, 63 487,708,259, 129 939, 32 335, 63 367,587,259, 360 575, 95 063, 186 918, 5 387,598, 37 277, 41 431, 88 812, 45 421, 11 515, 2 006,25, 22 203, 46 916, 147 723,233, 2 908, 6 504, 2 072, 2 383, 3 250, 3 765, 2 628, 6 954, 1 151,"8,080",17.6, 80 463, 61 146, 4 738, 8 113,"1,870",11.4,35, 10 662, 26 744, 21 451, 2 695, 37 770, 498 247, 26 321
