Area,District_EN,District_CN,Sub-districts
Hong Kong Island,Central & Western,中西區,"Kennedy Town, Shek Tong Tsui, Sai Ying Pun, Sheung Wan, Central, Admiralty, Mid-levels, Peak"
Hong Kong Island,Eastern,東區,"Tin Hau, Braemar Hill, North Point, Quarry Bay, Sai Wan Ho, Shau Kei Wan, Chai Wan, Siu Sai Wan"
Hong Kong Island,Southern,南區,"Pok Fu Lam, Aberdeen, Ap Lei Chau, Wong Chuk Hang, Shouson Hill, Repulse Bay, Chung Hom Kok, Stanley, Tai Tam, Shek O"
Hong Kong Island,Wan Chai,灣仔區,"Wan Chai, Causeway Bay, Happy Valley, Tai Hang, So Kon Po, Jardine's Lookout"
Kowloon,Sham Shui Po,深水埗區,"Mei Foo, Lai Chi Kok, Cheung Sha Wan, Sham Shui Po, Shek Kip Mei, Yau Yat Tsuen, Tai Wo Ping, Stonecutters Island"
Kowloon,Kowloon City,九龍城區,"Hung Hom, To Kwa Wan, Ma Tau Kok, Ma Tau Wai, Kai Tak, Kowloon City, Ho Man Tin, Kowloon Tong, Beacon Hill"
Kowloon,Kwun Tong,觀塘區,"Ping Shek, Kowloon Bay, Ngau Tau Kok, Jordan Valley, Kwun Tong, Sau Mau Ping, Lam Tin, Yau Tong, Lei Yue Mun"
Kowloon,Wong Tai Sin,黃大仙區,"San Po Kong, Wong Tai Sin, Tung Tau, Wang Tau Hom, Lok Fu, Diamond Hill, Tsz Wan Shan, Ngau Chi Wan"
Kowloon,Yau Tsim Mong,油尖旺區,"Tsim Sha Tsui, Yau Ma Tei, West Kowloon Reclamation, King's Park, Mong Kok, Tai Kok Tsu"
New Territories,Islands,離島區,"Cheung Chau, Peng Chau, Lantau Island (including Tung Chung), Lamma Island"
New Territories,Kwai Tsing,葵青區,"Kwai Chung, Tsing Yi"
New Territories,North,北區,"Fanling, Luen Wo Hui, Sheung Shui, Shek Wu Hui, Sha Tau Kok, Luk Keng, Wu Kau Tang"
New Territories,Sai Kung,西貢區,"Clear Water Bay, Sai Kung, Tai Mong Tsai, Tseung Kwan O, Hang Hau, Tiu Keng Leng, Ma Yau Tong"
New Territories,Sha Tin,沙田區,"Tai Wai, Sha Tin, Fo Tan, Ma Liu Shui, Wu Kai Sha, Ma On Shan"
New Territories,Tai Po,大埔區,"Tai Po Market, Tai Po, Tai Po Kau, Tai Mei Tuk, Shuen Wan, Cheung Muk Tau, Kei Ling Ha"
New Territories,Tsuen Wan,荃灣區,"Tsuen Wan, Lei Muk Shue, Ting Kau, Sham Tseng, Tsing Lung Tau, Ma Wan, Sunny Bay"
New Territories,Tuen Mun,屯門區,"Tai Lam Chung, So Kwun Wat, Tuen Mun, Lam Tei"
New Territories,Yuen Long,元朗區,"Hung Shui Kiu, Ha Tsuen, Lau Fau Shan, Tin Shui Wai, Yuen Long, San Tin, Lok Ma Chau, Kam Tin, Shek Kong, Pat Heung"