Date,Ticker,Open,High,Low,Close,Adj Close,Volume
26/5/2020,WMT,124.339996,125.510002,123.629997,123.860001,123.352882,7910200
27/5/2020,WMT,123.970001,124.489998,121.029999,122.480003,121.978531,10357900
28/5/2020,WMT,123.720001,124.949997,123.160004,123.690002,123.183578,8141600
29/5/2020,WMT,124.239998,124.709999,121.93,124.059998,123.552055,9772400
1/6/2020,WMT,123.440002,124.410004,122.360001,123.959999,123.452469,6850100
2/6/2020,WMT,123.589996,124.150002,122.809998,123.940002,123.432556,6395900
3/6/2020,WMT,123.900002,123.989998,122.660004,123.470001,122.964478,6754300
4/6/2020,WMT,122.800003,123.889999,121.82,122.110001,121.610046,8005000
5/6/2020,WMT,122.57,122.68,119.910004,121.559998,121.062294,13112400
8/6/2020,WMT,119.580002,121.239998,119.459999,121.239998,120.743607,9448100
9/6/2020,WMT,121.599998,122,120.559998,121.349998,120.853157,6915400
10/6/2020,WMT,121.559998,122.5,121.129997,121.160004,120.66394,9380500
11/6/2020,WMT,120.989998,122.580002,119.480003,120.089996,119.598312,11387600
12/6/2020,WMT,120.510002,120.75,117.059998,117.739998,117.257935,10781100
15/6/2020,WMT,118.400002,118.68,117.010002,118.080002,117.59655,10901100
16/6/2020,WMT,119.800003,120.230003,118.540001,119.650002,119.160118,8389200
17/6/2020,WMT,119.860001,120.129997,118.400002,119.029999,118.542656,6715100
18/6/2020,WMT,118.540001,119.059998,117.660004,117.989998,117.506912,6690000
19/6/2020,WMT,118.889999,120.300003,117.75,119.849998,119.359299,13359600
22/6/2020,WMT,120.970001,122.089996,120.400002,121.68,121.181808,9112800
23/6/2020,WMT,122.75,122.849998,120.959999,121.07,120.574303,6575900
24/6/2020,WMT,120.739998,121.120003,119.580002,120.300003,119.807457,6871600
25/6/2020,WMT,119.760002,120.160004,118.379997,119.709999,119.219872,6856600
26/6/2020,WMT,119.599998,120.839996,118.019997,118.32,117.835564,8997200
29/6/2020,WMT,118.5,119.68,118.220001,119.059998,118.572533,5503800
30/6/2020,WMT,119.220001,120.129997,118.540001,119.779999,119.289581,6836400
1/7/2020,WMT,119.449997,119.919998,118.660004,119.690002,119.199959,6577900
2/7/2020,WMT,120.089996,120.879997,118.860001,119.209999,118.721916,5898600
6/7/2020,WMT,119.800003,119.870003,118.220001,118.889999,118.403229,7231700
7/7/2020,WMT,118.449997,127.550003,118.220001,126.949997,126.430222,31152700
8/7/2020,WMT,128,128.130005,124.400002,124.440002,123.930504,17405700
9/7/2020,WMT,125.610001,128.179993,124.949997,127.75,127.226952,14257200
10/7/2020,WMT,128.740005,131.369995,127.260002,130.679993,130.144943,14745600
13/7/2020,WMT,131.330002,133.630005,128.889999,129.520004,128.989716,14112800
14/7/2020,WMT,129.279999,132.5,129.029999,132.009995,131.469513,8818600
15/7/2020,WMT,132.270004,134.130005,130.800003,132,131.459549,10577100
16/7/2020,WMT,132.050003,132.729996,131.240005,132.199997,131.658737,5892200
17/7/2020,WMT,133.369995,133.369995,131.470001,131.740005,131.200623,6063200
20/7/2020,WMT,131.960007,132.740005,131.139999,131.470001,130.931717,6114200
21/7/2020,WMT,131.559998,133.990005,131.449997,132.330002,131.788208,7240400
22/7/2020,WMT,132.570007,133.029999,131.190002,132.660004,132.116852,5388200
23/7/2020,WMT,133,133.149994,131.309998,131.639999,131.101028,5598800
24/7/2020,WMT,130.949997,132.399994,130.509995,131.240005,130.702667,4345800
27/7/2020,WMT,130.860001,131.979996,130.860001,131.210007,130.672791,4681900
28/7/2020,WMT,131.5,132.380005,130.919998,131.759995,131.220535,4804700
29/7/2020,WMT,131.559998,131.860001,129.850006,130.690002,130.154922,4741100
30/7/2020,WMT,129.419998,130.419998,128.720001,130.119995,129.58725,4596100
31/7/2020,WMT,129.649994,130.089996,127.620003,129.399994,128.870193,7211500
3/8/2020,WMT,129.910004,130.119995,128.270004,129.300003,128.770615,4990500
4/8/2020,WMT,129.649994,131.710007,128.940002,131.639999,131.101028,6073200
5/8/2020,WMT,130.449997,130.75,128.830002,129.809998,129.278519,8503600
6/8/2020,WMT,129.130005,130.229996,129.029999,129.350006,128.820404,4832100
7/8/2020,WMT,129.580002,130.460007,129.110001,129.970001,129.437866,5516500
10/8/2020,WMT,130.240005,132.339996,129.649994,131.880005,131.340042,5894400
11/8/2020,WMT,132.589996,132.869995,129.729996,130.199997,129.666916,8453400
12/8/2020,WMT,130.470001,132.229996,129.080002,131.889999,131.350006,6372100
13/8/2020,WMT,131.210007,131.960007,130.729996,131.850006,131.850006,6622400
14/8/2020,WMT,132.339996,132.970001,131.630005,132.600006,132.600006,6702100
17/8/2020,WMT,134.350006,136.130005,133.850006,135.600006,135.600006,13155000
18/8/2020,WMT,136.169998,137.630005,133.169998,134.710007,134.710007,26744200
19/8/2020,WMT,134.210007,134.660004,131.850006,132.410004,132.410004,12718400
20/8/2020,WMT,131.210007,132.070007,130.050003,130.570007,130.570007,8936900
21/8/2020,WMT,130.550003,132.669998,130.100006,131.630005,131.630005,8285100